Country,Year,Activity_,RMovement
ISRAEL,2013,diving,1
AUSTRALIA,1935,diving,1
AUSTRALIA,1959,diving,1
AUSTRALIA,1936,diving,1
BAHAMAS,2017,diving,1
AUSTRALIA,1936,diving,1
AUSTRALIA,1957,diving,1
PAPUA NEW GUINEA,1957,diving,1
SOLOMON ISLANDS,1957,diving,1
AUSTRALIA,1935,diving,1
AUSTRALIA,1950,diving,1
BRAZIL,2015,diving,1
AUSTRALIA,2014,diving,1
AUSTRALIA,1937,diving,1
AUSTRALIA,2013,diving,1
COSTA RICA,2017,diving,1
ITALY,1959,diving,1
BAHAMAS,2014,diving,1
AUSTRALIA,1933,diving,1
COSTA RICA,2018,diving,1
COLUMBIA,2016,diving,1
BAHAMAS,2013,diving,1
MEXICO,2018,diving,1
AUSTRALIA,2016,diving,1
MEXICO,1953,diving,1
AUSTRALIA,1938,diving,1
AUSTRALIA,1939,diving,1
CANADA,1925,diving,1
COSTA RICA,2017,diving,1
AUSTRALIA,1915,diving,1
SOUTH AFRICA,2014,diving,1
AUSTRALIA,1947,diving,1
AUSTRALIA,1935,diving,1
AUSTRALIA,1933,diving,1
TAIWAN,1958,diving,1
AUSTRALIA,1946,diving,1
FRANCE,2014,diving,1
BAHAMAS,1939,diving,1
AUSTRALIA,1956,diving,1
NEW GUINEA,1959,dragging,1
AUSTRALIA,1911,during,1
MEXICO,1924,during,1
AUSTRALIA,1981,exercising,1
FRENCH POLYNESIA,2015,feeding,1
ENGLAND,2000,feeding,1
FRENCH POLYNESIA,2014,feeding,1
AUSTRALIA,1967,feeding,1
MALAYSIA,2009,feeding,1
CAYMAN ISLANDS,2016,feeding,1
AUSTRALIA,2018,feeding,1
BAHAMAS,1932,filming,1
MADAGASCAR,1962,finning,1
AUSTRALIA,1960,fishing,1
SOUTH AFRICA,1980,fishing,1
SCOTLAND,2008,fishing,1
USA,1985,fishing,1
CANADA,1932,fishing,1
NEW CALEDONIA,2008,fishing,1
BRAZIL,1991,fishing,1
SOUTH AFRICA,1979,fishing,1
USA,2009,fishing,1
BAHAMAS,1939,fishing,1
UNITED ARAB EMIRATES,2016,fishing,1
BAHAMAS,2015,fishing,1
AUSTRALIA,1986,fishing,1
AUSTRALIA,2008,fishing,1
PHILIPPINES,2008,fishing,1
MEXICO,1932,fishing,1
SOUTH AFRICA,2008,fishing,1
MOZAMBIQUE,2015,fishing,1
MOZAMBIQUE,2015,fishing,1
BERMUDA,1934,fishing,1
TAIWAN,2009,fishing,1
ITALY,1982,fishing,1
SOUTH AFRICA,2009,fishing,1
AUSTRALIA,1988,fishing,1
SCOTLAND,1937,fishing,1
ENGLAND,2008,fishing,1
AUSTRALIA,2017,fishing,1
AUSTRALIA,2002,fishing,1
MEXICO,2017,fishing,1
AUSTRALIA,2001,fishing,1
ENGLAND,2018,fishing,1
MALDIVES,2018,fishing,1
AUSTRALIA,2004,fishing,1
JAPAN,2004,fishing,1
 TONGA,2004,fishing,1
 TONGA,2004,fishing,1
MALAYSIA,2017,fishing,1
SOUTH AFRICA,2003,fishing,1
BRAZIL,2018,fishing,1
USA,2007,fishing,1
SPAIN,1924,fishing,1
ENGLAND,1924,fishing,1
TONGA,1995,fishing,1
USA,2016,fishing,1
BARBADOS,1922,fishing,1
AUSTRALIA,1993,fishing,1
EL SALVADOR,1993,fishing,1
AUSTRALIA,2007,fishing,1
AUSTRALIA,1930,fishing,1
AUSTRALIA,1994,fishing,1
VIETNAM,1907,fishing,1
MALTA,1907,fishing,1
CHINA,1907,fishing,1
CHINA,1907,fishing,1
ITALY,1999,fishing,1
MARSHALL ISLANDS,1999,fishing,1
AUSTRALIA,1999,fishing,1
JAPAN,1998,fishing,1
ENGLAND,2007,fishing,1
EGYPT,1997,fishing,1
EGYPT,1997,fishing,1
FRENCH POLYNESIA,2016,fishing,1
OKINAWA,1997,fishing,1
ENGLAND,1921,fishing,1
PAPUA NEW GUINEA,1965,fishing,1
SOUTH AFRICA,1956,fishing,1
NORTH SEA,1960,fishing,1
DOMINICAN REPUBLIC,2011,fishing,1
AUSTRALIA,1956,fishing,1
NEW ZEALAND,1960,fishing,1
PAPUA NEW GUINEA,1956,fishing,1
MALTA,1956,fishing,1
KENYA,1964,fishing,1
PAPUA NEW GUINEA,1956,fishing,1
PAPUA NEW GUINEA,1964,fishing,1
TAIWAN,2012,fishing,1
SOUTH AFRICA,2012,fishing,1
FIJI,1957,fishing,1
PAPUA NEW GUINEA,1963,fishing,1
FIJI,1963,fishing,1
PALAU,1963,fishing,1
UNITED ARAB EMIRATES (UAE),2011,fishing,1
USA,2014,fishing,1
COLUMBIA,1968,fishing,1
CANADA,1953,fishing,1
UNITED KINGDOM,2011,fishing,1
SOUTH AFRICA,1967,fishing,1
UNITED KINGDOM,1954,fishing,1
INDIA,1955,fishing,1
PAPUA NEW GUINEA,1959,fishing,1
ITALY,1961,fishing,1
PAPUA NEW GUINEA,1961,fishing,1
CROATIA,1959,fishing,1
SOUTH AFRICA,1961,fishing,1
FRANCE,2013,fishing,1
AUSTRALIA,1961,fishing,1
SOUTH AFRICA,1960,fishing,1
SOUTH AFRICA,1960,fishing,1
SOUTH AFRICA,2013,fishing,1
BAHAMAS,2013,fishing,1
SOUTH AFRICA,1959,fishing,1
USA,1960,fishing,1
USA,1960,fishing,1
MARSHALL ISLANDS,1962,fishing,1
PAPUA NEW GUINEA,1963,fishing,1
SOUTH AFRICA,1963,fishing,1
SOUTH AFRICA,1958,fishing,1
SOUTH AFRICA,1962,fishing,1
ISRAEL,1962,fishing,1
PAPUA NEW GUINEA,1962,fishing,1
BAHAMAS,1958,fishing,1
AUSTRALIA,2012,fishing,1
SCOTLAND,2012,fishing,1
SOUTH AFRICA,1962,fishing,1
ITALY,1952,fishing,1
ITALY,1950,fishing,1
SOUTH AFRICA,1977,fishing,1
SOUTH AFRICA,1975,fishing,1
JAMAICA,1951,fishing,1
AUSTRALIA,1952,fishing,1
MOZAMBIQUE,1970,fishing,1
MOZAMBIQUE,1970,fishing,1
SOUTH AFRICA,1977,fishing,1
ITALY,1976,fishing,1
MICRONESIA,1970,fishing,1
AUSTRALIA,2010,fishing,1
SOUTH AFRICA,1976,fishing,1
SOUTH AFRICA,1974,fishing,1
SOUTH AFRICA,1974,fishing,1
IRAN,1946,fishing,1
EL SALVADOR,1950,fishing,1
SOUTH AFRICA,1974,fishing,1
SOUTH AFRICA,1977,fishing,1
AUSTRALIA,1960,fishing,1
ISRAEL,1946,fishing,1
AUSTRALIA,2014,fishing,1
SRI LANKA,1950,fishing,1
PAPUA NEW GUINEA,1960,fishing,1
SOUTH AFRICA,1976,fishing,1
MEXICO,2011,fishing,1
SOUTH AFRICA,1960,fishing,1
IRAQ,1970,fishing,1
ITALY,1952,fishing,1
SOUTH AFRICA,1976,fishing,1
ITALY,1949,fishing,1
SOUTH AFRICA,1978,fishing,1
AUSTRALIA,2011,fishing,1
AUSTRALIA,1944,fishing,1
SOUTH AFRICA,1976,fishing,1
MEXICO,2015,fishing,1
BERMUDA,1960,floating,1
USA,2001,floating,1
AUSTRALIA,1925,floating,1
USA,2011,floating,1
BERMUDA,1967,floating,1
ARGENTINA,1954,floating,1
USA,1956,floating,1
MEXICO,1964,floating,1
NORTH PACIFIC OCEAN,1955,flying,1
NORTH PACIFIC OCEAN,1955,flying,1
AUSTRALIA,1964,freediving,1
NORTH ATLANTIC OCEAN,1980,gaffing,1
BRAZIL,2017,grabbing,1
PACIFIC OCEAN ,1965,hauling,1
ENGLAND,1960,helping,1
SOUTH AFRICA,1966,helping,1
SOUTH AFRICA,1981,inspecting,1
USA,2004,jumping,1
SOUTH AFRICA,1946,jumping,1
AUSTRALIA,1989,kayaking,3
AUSTRALIA,2016,kayaking,3
COLUMBIA,2011,kayaking,3
NEW CALEDONIA,2000,killing,1
MALAYSIA,1968,leaving,1
SOUTH AFRICA,2006,lifesaving,1
SOUTH AFRICA,1960,lining,1
PORTUGAL,1956,longling,1
SOUTH AFRICA,1998,moving,1
SENEGAL,1967,netting,2
USA,1909,netting,2
SENEGAL,1962,netting,2
SOUTH AFRICA,2018,paddle-skiing,2
VANUATU,1961,paddling,2
AUSTRALIA,2014,petting,1
BAHAMAS,1967,photographing,1
USA,1995,playing,1
CUBA,1948,playing,1
USA,1976,playing,1
