Country,Area,Location,Activity,Age,Fatal?,Species,Year
AUSTRALIA,Western Australia,Between Carnac and Garden Islands,Fishing,,N,White shark,2010
AUSTRALIA,Western Australia,Off Garden Island,Snorkeling,20,N,White shark,2010
USA,Maine,"Burnt Cove near Eastport, Washington County",Scuba diving,30,N,"Porbeagle shark, 8' ",2010
AUSTRALIA,Western Australia,Wedge Island,Kite Surfing,14,N,,2010
USA,California,"Surf Beach, Vandenberg AFB, Santa Barbara County",Body boarding,19,Y,"White shark, 14' to 18' ",2010
AUSTRALIA,New South Wales,Mullaway Headland,Surfing,22,N,"Bull shark, 1.4m ",2010
BAHAMAS,Abaco Islands,Elbow Cay,Surfing,,N,Possibly a 6' lemon shark,2010
SOUTH AFRICA,Western Cape Province,"Melkbaai, Strand",Surfing,Teen,N,,2010
USA,Oregon,Winchester Bay,Surfing,29,N,White shark,2010
USA,Virginia,Sandridge Beach,Surfing,18,N,,2010
SOUTH AFRICA,Western Cape Province,Between Dyer Island and Pearly Beach,Swimming,29,Y,White shark,2010
AUSTRALIA,New South Wales,Fraser's Reef,Surfing,15,N,2m shark,2010
USA,Florida,"St. Augustine, St. John's County",Swimming,27,N,3' shark,2010
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,24,N,,2010
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,24,N,,2010
BAHAMAS,Exuma Islands,"Off Jaws Beach, New Providence Island",Swimming after boat became disabled,43,U,Shark involvement prior to death was not confirmed,2010
USA,Florida,Crescent Beach St. Johns County,Boogie Boarding,10,N,,2010
AUSTRALIA,Western Australia,Cowaramup Bay,Surfing,31,Y,White shark,2010
USA,California,"Pigeon Point, San Mateo County",Kayak Fishing,45,N,White shark,2010
SOUTH KOREA,Jeju Province,Jeju Island,Swimming,16,N,,2010
AUSTRALIA,New South Wales,Crescent Head,Surfing,47,N,,2010
USA,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",Surfing,25,N,,2010
MALTA,,"Off Fort St. Elmo, Valetta",Windsurfing,35,N,3 m shark,2010
USA,California,"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County",Kayaking,,N,"White shark, 15'",2010
USA,Florida,"Micklers Landing, St. Johns County",Standing,37,N,3' to 4' shark,2010
USA,South Carolina,"Isle of Palms, Charleston County",Standing,16,N,4' shark,2010
USA,Florida,"Jacksonville Beach, Duval County",Surfing,20,N,,2010
USA,South Carolina,Myrtle Beach,Swimming,10,N,Possibly a small blacktip shark,2010
USA,North Carolina,"Wrightsville Beach, New Hanover County",Swimming,13,N,"Sandtiger shark, 4' to 5'",2010
USA,Florida,New Smyrna Beach,Surfing,55,N,A small spinner shark,2010
SPAIN,Grand Canary Island,"Sardina del Norte, Gáldar",Swimming,9,N,Angel shark,2010
USA,Florida,"Lauderdale-by-the-Sea, Broward County",Fishing,,N,"Nurse shark, juvenile ",2010
SOUTH AFRICA,KwaZulu-Natal,"Two Mile Reef, Sodwana Bay",Snorkeling,21,N,,2010
USA,New York,Off Long Island,Fishing,20,N,"Blue shark, 7'",2010
USA,California,"Pismo Beach, San Luis  Obispo County",Surfing,19,N,4' shark,2010
USA,California,"Dog Patch, San Onofre",Stand-Up Paddleboarding,48,N,8' shark,2010
USA,Texas,"Eight Mile Beach, Galveston",Surfing,20,N,"Bull shark, 5'",2010
USA,South Carolina,Fripp Island,Boogie Boarding,6,N,,2010
USA,North Carolina,"Topsail Island, Pender County",Swimming,13,N,,2010
VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,17,N,1 m shark,2010
USA,Florida,Jacksonville,Boogie Boarding,18,N,4' shark,2010
AUSTRALIA,Western Australia,"Conspicuous Beach, near Walpole",Surfing,40,N,,2010
USA,Florida,"Ponte Vedra Beach, St Johns County",Surfing,20,N,,2010
USA,Florida,Off Tarpon Springs,Fishing,49,N,"Lemon shark, 4'",2010
VIETNAM,Binh Dinh Province,Quy Nhon ,Rescuing,58,N,20 to 30kg shark,2010
VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,60,N,20 to 30kg shark,2010
MADAGASCAR,Antsiranana Province," Ambatolaoka, Nosy Be Island",Scuba diving,59,N,,2010
USA,Florida,New Smyrna Beach,Wading,10,N,4' shark,2010
USA,Florida,Hanalei Bay,Measuring sharks,29,N,"Lemon shark, 6'",2010
USA,Hawaii,"Hanalei Bay, Kauai",Surfing,68,N,14' shark,2010
SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",Surfing,35,N,2 m shark,2010
EGYPT,Sinai Peninsula,Sharm el-Sheikh ,Swimming / treading water,24,N,"Oceanic whitetip shark, 6'",2010
REUNION,Saint-Benoit,Bittern,Surfing,34,N,1.5 m shark,2010
NEW ZEALAND,South Island,Tahunanui Beach,Swimming,,N,Possibly a blue shark,2010
SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,Surfing,,N,3 m shark,2010
FIJI,Off Vanua Levu,Nara Reef,Scuba diving,19,Y,,2010
AUSTRALIA,Queensland,"Dent Island, Whitsundays",Snorkeling,60,N,2 m shark,2010
AUSTRALIA,New South Wales,"Mona Vale Beach, Sydney",Surfing,46,N,"Wobbegong shark, 1.6m",2010
NEW ZEALAND,South Island,Cosy Nook,Spearfishing,,N,2 m to 3 m shark,2010
AUSTRALIA,New South Wales,Turners' Beach,Body boarding,18,N,"White shark, 2.5m",2010
USA,Florida,Riviera Beach,Surf fishing / wading,,N,"Spinner shark, 6'",2010
GUAM,Merizo,Achang Reef,Spearfishing (free diving),31,U,Invalid,2010
USA,Florida,"Stuart, Martin County",Kite Boarding,38,Y,,2010
NEW ZEALAND,South Island,Oreti Beach,Boogie Boarding,14,N,1.5 m shark,2010
BRAZIL,Rio Grande Do Sul,"Atlantis Beach, near Tramandai",Surfing,29,N,Thought to involve a juvenile hammerhead shark,2010
UNITED ARAB EMIRATES (UAE),Dubai,"Umm Suqeim Beach, Dubai",Surfing,54,N,,2010
SOUTH AFRICA,Western Province,Fish Hoek,Standing,37,Y,White shark,2010
AUSTRALIA,Torres Strait,Thursday Island,Snorkeling,9,N,"Whitetip reef shark, 1m",2010
USA,Florida,Elliot Key,Spearfishing,32,N,,2010
SOUTH AFRICA,Eastern Cape  Province,Port Alfred,Wading,20,N,,2009
AUSTRALIA,New South Wales,Avoca Beach,Swimming,55,N,,2009
MOZAMBIQUE,Maputo Province,Ponta do Ouro,Swimming,27,N,"Zambesi shark, 2m ",2009
AUSTRALIA,Queensland,Lamont Reef,Spearfishing,18,N,"Bull shark, 3m",2009
SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",Paddling on kneeboard,22,Y,,2009
NEW ZEALAND,South Island,Clark Island,Swimming to shore from capsized kayak,24,Y,"White shark, 2.8 to 3 m ",2009
AUSTRALIA,New South Wales,Coffee Head,Surfing,39,N,,2009
AUSTRALIA,New South Wales,Hawks Nest Beach,Rowing,,N,White shark,2009
USA,New Jersey,"Adventure Aquarium, Camden",Diving,58,N,"Sandtiger shark, 8'",2009
USA,California,"Huntington Beach, Orange County",Surfing,49,U,Shark involvement not confirmed,2009
USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",Wading,10,N,6' shark,2009
USA,California,"Loch Lomond, Marin County",Fishing,31,N,Thresher shark,2009
USA,Florida,"Jupiter, Palm Beach County",Surfing,22,N,,2009
USA,Florida,"Jupiter, Palm Beach County",Surfing,27,N,,2009
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,18,N,4' shark,2009
AUSTRALIA,South Australia,Second Valley,Kayaking,25,N,2 m shark,2009
USA,California,"Davenport, Santa Cruz County",Surfing,21,N,,2009
AUSTRALIA,Victoria,Portland,Kayaking,27,N,"White shark, 4m",2009
MOZAMBIQUE,Inhambane Province,Off Vilanculo,Spearfishing,,N,Zambesi shark,2009
AUSTRALIA,New South Wales,Lennox Heads,Paddle-boarding,17,N,,2009
USA,Hawaii,"Kalama Park, Maui",Surfing,54,N,6' to 8' shark,2009
PANAMA,Bocas,Playa La Cabaña ,Wading,10,N,,2009
SCOTLAND,Fife,Deep Sea World Aquarium,Diving,23,N,Angel shark,2009
AUSTRALIA,Western Australia,,Diving,23,N,"Bull shark, 10'",2009
UNITED KINGDOM,Devon,Mewstone Rock,Fishing,39,N,Spurdog,2009
USA,Florida,"Key Colony Beach, Monroe County",Swimming,,N,"Bull shark, 8'",2009
USA,North Carolina,"Corolla, Currituck County",Swimming,60,Y,Shark involvement prior to death not confirmed,2009
BRAZIL,Pernambuco,"Piedade, Recife","Swimming, attempting to rescue a girl  believed to be drowning",15,Y,,2009
USA,California,"Huntington Beach, Orange County",Surfing,,N,4' shark,2009
SOUTH AFRICA,Western Cape Province,Glentana,Surfing,25,Y,White shark,2009
USA,California,"Terramar Beach, Carlsbad, San Diego County",Swimming,22,N,"White shark, 5' to 6' juvenile ",2009
SOUTH AFRICA,KwaZulu-Natal,Alkantstrand ,Body boarding,,N,"White shark, 2m",2009
USA,Florida,"Ponce, Volusia County",Swimming,26,N,,2009
USA,Hawaii,Kawa'a ,Surfing,,N,"Tiger shark, 12",2009
USA,Louisiana,"Curlew Island, Breton Sound",Wade Fishing,56,N,Bull shark?,2009
BAHAMAS,Abaco Islands,Spanish Cay,Spearfishing,14,N,Bull shark,2009
AUSTRALIA,New South Wales,Broken Head,Surfing,14,N,,2009
VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,41,N,,2009
USA,Texas,South Padre Island,Wading,14,N,,2009
SPAIN,Catalunya,Sant Salvador,Swimming,11,U,Shark involvement questionable,2009
USA,North Carolina,Holden Beach. Brunswick County,Swimming,26,N,,2009
USA,Florida,"Intracoastal Waterway,      St. Petersburg",Swimming,19,N,,2009
VIETNAM,Binh Dinh Province,Quy Nhon ,Swimming,57,N,,2009
USA,California,"San Onofre, San Diego County ",Paddle-surfing,,N,5' shark,2009
SOUTH AFRICA,Western Cape Province,"Jogensfontein, Stilbaai",Surfing,37,N,,2009
USA,Florida,"Daytona Beach, Volusia County",Boogie Boarding,12,N,,2009
USA,Florida,"Biscayne National Park, Miami",Swimming,43,N,"Nurse shark, 6'",2009
AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",Surfing,52,N,"Thought to involve a Bronze whale shark, 2m",2009
USA,California,"Shell Beach, San Luis Obispo County",Surfing,26,U,Shark involvement not confirmed,2009
USA,Florida,"Melbourne Beach, Brevard County",Crawling,14,U,"Shark involvement probable, but not confirmed",2009
EGYPT,St. Johns Reef,Habili Gafar,Scuba diving,,N,Oceanic whitetip shark,2009
EGYPT,St. Johns Reef,Habili Gafar,Scuba diving,,N,Oceanic whitetip shark,2009
EGYPT,St. Johns Reef,Habili Gafar,Snorkeling,50,Y,"Oceanic whitetip shark, 2.5 to 3m",2009
TAIWAN,Off Green Island,Onboard the fishing vessel Chin Sheng Fa 13  ,Fishing,46,N,80 kg shark,2009
USA,Florida,"Clearwater Beach, Pinellas County",Swimming,,N,5' to 8' shark,2009
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,31,N,blacktip or spinner shark,2009
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,49,N,blacktip or spinner shark,2009
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,55,N,blacktip or spinner shark,2009
GUAM,North Region,Ritidian Point,Spearfishing,27,N,"Blacktip shark, 4'",2009
BAHAMAS,Exuma Islands,,Spearfishing,48,N,7' shark,2009
USA,Florida,"New Smyrna Beach, Volusia County",Surfing,20,N,,2009
PHILIPPINES,Batangas province,Mabini,Swimming,23,N,,2009
USA,Florida,"Carlin Park, Jupiter Inlet",Surfing,52,N,,2009
USA,Florida,"Walton Rocks, St Lucie County",Surfing,31,N,2' to 3' shark,2009
USA,Hawaii,Kona,Spearfishing,49,U,Shark involvement not confirmed,2009
AUSTRALIA,New South Wales,Fingal Bay,Surf skiing ,40,N,2' to 3' shark,2009
SOUTH AFRICA,KwaZulu-Natal,Umtentweni,Swimming,24,U,Shark involvement not confirmed,2009
USA,California,San Diego County,Spearfishing,,N,"White shark, 12' to 15' female",2009
USA,Florida,"Sanibel Island, Lee County",Wading,15,N,,2009
