Country,Fatal,Year
NEW CALEDONIA,N,2004
CUBA,N,2004
SOUTH AFRICA,N,2004
AUSTRALIA,N,2004
USA,N,2004
USA,N,2004
SOUTH AFRICA,N,2004
REUNION,N,2004
USA,N,2004
USA,N,2004
AUSTRALIA,N,2004
USA,N,2004
USA,N,2004
USA,N,2004
BRAZIL,N,2004
USA,N,2004
USA,Y,2004
USA,N,2004
AUSTRALIA,N,2004
SOUTH AFRICA,N,2004
USA,N,2004
USA,N,2004
USA,N,2004
USA,N,2004
USA,N,2004
AUSTRALIA,N,2004
JAPAN,N,2004
AUSTRALIA,Y,2004
EGYPT,N,2004
USA,N,2004
USA,N,2004
AUSTRALIA,N,2004
USA,N,2004
SOUTH AFRICA,Y,2004
USA,N,2004
BRAZIL,N,2004
USA,N,2004
USA,N,2004
USA,U,2004
BRAZIL,N,2004
BAHAMAS,N,2004
USA,N,2004
BRAZIL,Y,2004
AUSTRALIA,N,2004
NEW ZEALAND,N,2004
TONGA,Y,2004
TONGA,Y,2004
USA,Y,2004
SOUTH AFRICA,N,2004
USA,U,2004
USA,N,2004
BRAZIL,N,2004
USA,N,2004
REUNION,N,2004
USA,N,2004
USA,N,2004
NEW ZEALAND,N,2004
USA,N,2004
AUSTRALIA,N,2004
BRAZIL,Y,2004
NEW ZEALAND,N,2004
AUSTRALIA,U,2004
AUSTRALIA,N,2004
AUSTRALIA,N,2004
SOUTH AFRICA,N,2004
AUSTRALIA,N,2004
SOUTH AFRICA,N,2004
USA,U,2003
USA,N,2003
NEW ZEALAND,Y,2003
AUSTRALIA,N,2003
AUSTRALIA,N,2003
AUSTRALIA,N,2003
SOUTH AFRICA,Y,2003
USA,N,2003
INDIA,N,2003
USA,N,2003
EGYPT,N,2003
SOUTH AFRICA,N,2003
USA,N,2003
AUSTRALIA,N,2003
USA,N,2003
USA,N,2003
USA,U,2003
USA,N,2003
USA,Y,2003
USA,N,2003
USA,N,2003
USA,N,2003
USA,N,2003
FIJI,Y,2003
USA,N,2003
USA,N,2003
USA,N,2003
USA,N,2003
USA,N,2003
SOUTH AFRICA,N,2003
USA,U,2003
USA,N,2003
USA,N,2003
SOUTH AFRICA,Y,2003
USA,N,2003
USA,Y,2003
USA,U,2003
SOUTH AFRICA,N,2003
AUSTRALIA,N,2003
USA,N,2003
USA,N,2003
BAHAMAS,N,2003
USA,N,2003
USA,N,2003
BAHAMAS,N,2003
USA,N,2003
NEW ZEALAND,N,2003
USA,N,2003
USA,N,2003
USA,N,2003
USA,N,2003
USA,N,2003
USA,N,2003
USA,N,2003
USA,U,2003
USA,N,2003
USA,N,2003
USA,N,2003
USA,N,2003
USA,N,2003
BRAZIL,N,2003
BRAZIL,N,2003
BRAZIL,N,2003
USA,N,2003
USA,N,2003
USA,N,2003
USA,N,2003
USA,N,2003
USA,N,2003
USA,N,2003
USA,N,2003
USA,N,2003
USA,N,2003
NEW ZEALAND,N,2003
AUSTRALIA,N,2003
USA,N,2003
AUSTRALIA,N,2003
AUSTRALIA,Y,2003
SOUTH AFRICA,U,2003
COSTA RICA,N,2003
AUSTRALIA,N,2003
AUSTRALIA,N,2002
SOUTH AFRICA,N,2002
AUSTRALIA,N,2002
AUSTRALIA,U,2002
AUSTRALIA,Y,2002
BRAZIL,Y,2002
USA,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
FRENCH POLYNESIA,N,2002
USA,N,2002
BRAZIL,Y,2002
USA,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
TONGA,N,2002
USA,N,2002
USA,N,2002
BRAZIL,N,2002
SOUTH AFRICA,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
UNITED KINGDOM,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
USA,Y,2002
BRAZIL,N,2002
USA,N,2002
AUSTRALIA,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
SOUTH AFRICA,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
COSTA RICA,N,2002
PAPUA NEW GUINEA,N,2002
USA,N,2002
BRAZIL,N,2002
AUSTRALIA,N,2002
AUSTRALIA,Y,2002
AUSTRALIA,U,2002
USA,N,2002
USA,N,2002
AUSTRALIA,N,2002
BAHAMAS,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
USA,N,2002
BRAZIL,Y,2002
USA,N,2002
USA,N,2002
USA,N,2002
NEW CALEDONIA,U,2002
AUSTRALIA,N,2002
AUSTRALIA,N,2002
AUSTRALIA,N,2002
AUSTRALIA,N,2002
SOUTH AFRICA,N,2002
SOUTH AFRICA,N,2002
USA,N,2002
AUSTRALIA,N,2001
AUSTRALIA,N,2001
SOUTH AFRICA,N,2001
AUSTRALIA,N,2001
MEXICO,N,2001
AUSTRALIA,N,2001
USA,N,2001
USA,N,2001
USA,Y,2001
USA,N,2001
USA,N,2001
UNITED KINGDOM,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,Y,2001
USA,N,2001
USA,N,2001
USA,Y,2001
BAHAMAS,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
BAHAMAS,N,2001
BAHAMAS,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
MEXICO,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
AUSTRALIA,U,2001
USA,N,2001
USA,N,2001
SOUTH AFRICA,N,2001
AUSTRALIA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
USA,N,2001
SOUTH AFRICA,N,2001
AUSTRALIA,N,2001
USA,N,2001
BRAZIL,N,2001
AUSTRALIA,N,2001
USA,N,2001
BRAZIL,U,2001
BRAZIL,Y,2001
AUSTRALIA,N,2001
AUSTRALIA,N,2001
AUSTRALIA,N,2001
CUBA,N,2001
AUSTRALIA,N,2001
USA,N,2001
NEW ZEALAND,N,2001
AUSTRALIA,N,2000
FIJI,Y,2000
AUSTRALIA,N,2000
CANADA,N,2000
AUSTRALIA,N,2000
AUSTRALIA,N,2000
AUSTRALIA,U,2000
USA,N,2000
USA,U,2000
AUSTRALIA,N,2000
AUSTRALIA,Y,2000
USA,N,2000
AUSTRALIA,N,2000
USA,N,2000
USA,N,2000
USA,N,2000
USA,N,2000
USA,N,2000
USA,N,2000
USA,N,2000
USA,N,2000
AUSTRALIA,Y,2000
AUSTRALIA,Y,2000
AUSTRALIA,N,2000
USA,N,2000
USA,N,2000
USA,N,2000
USA,N,2000
SOUTH AFRICA,N,2000
USA,N,2000
REUNION,N,2000
USA,N,2000
USA,Y,2000
USA,N,2000
USA,N,2000
USA,N,2000
USA,N,2000
USA,U,2000
USA,N,2000
USA,N,2000
USA,N,2000
SOUTH AFRICA,N,2000
SOUTH AFRICA,N,2000
TONGA,N,2000
USA,N,2000
USA,N,2000
USA,N,2000
USA,N,2000
USA,N,2000
USA,N,2000
USA,N,2000
USA,N,2000
NEW ZEALAND,N,2000
USA,N,2000
USA,N,2000
USA,N,2000
USA,N,2000
USA,N,2000
USA,N,2000
NEW CALEDONIA,Y,2000
PAPUA NEW GUINEA,N,2000
USA,N,2000
AUSTRALIA,N,2000
USA,N,2000
USA,N,2000
NEW CALEDONIA,Y,2000
AUSTRALIA,N,2000
AUSTRALIA,N,2000
NEW ZEALAND,U,2000
USA,N,2000
SOUTH AFRICA,N,2000
UNITED KINGDOM,N,2000
NEW ZEALAND,N,2000
AUSTRALIA,N,2000
USA,N,2000
NEW ZEALAND,N,1999
NEW ZEALAND,N,1999
NEW ZEALAND,N,1999
BRAZIL,N,1999
BRAZIL,N,1999
USA,N,1999
USA,N,1999
USA,N,1999
USA,N,1999
SOUTH AFRICA,N,1999
BRAZIL,N,1999
MARSHALL ISLANDS,N,1999
MARSHALL ISLANDS,N,1999
USA,N,1999
USA,N,1999
USA,N,1999
USA,N,1999
USA,N,1999
ITALY,N,1999
USA,N,1999
USA,N,1999
USA,N,1999
USA,N,1999
USA,N,1999
USA,N,1999
USA,N,1999
MARSHALL ISLANDS,N,1999
USA,N,1999
USA,N,1999
USA,N,1999
BAHAMAS,N,1999
SOUTH AFRICA,N,1999
USA,N,1999
USA,N,1999
SOUTH AFRICA,Y,1999
USA,N,1999
SOUTH AFRICA,N,1999
USA,N,1999
USA,N,1999
USA,N,1999
USA,N,1999
AUSTRALIA,Y,1999
BRAZIL,N,1999
REUNION,Y,1999
USA,N,1999
NEW ZEALAND,N,1999
USA,Y,1999
NEW CALEDONIA,N,1999
USA,N,1999
USA,N,1999
USA,N,1999
AUSTRALIA,N,1999
USA,N,1999
SOUTH AFRICA,N,1999
AUSTRALIA,U,1999
REUNION,Y,1999
SOUTH AFRICA,N,1999
USA,N,1998
AUSTRALIA,N,1998
SOUTH AFRICA,N,1998
SOUTH AFRICA,N,1998
AUSTRALIA,N,1998
USA,Y,1998
USA,N,1998
USA,N,1998
USA,N,1998
JAPAN,N,1998
BRAZIL,Y,1998
USA,N,1998
SOUTH AFRICA,N,1998
BRAZIL,N,1998
USA,N,1998
USA,N,1998
USA,N,1998
SENEGAL,N,1998
USA,N,1998
USA,N,1998
USA,N,1998
BAHAMAS,N,1998
USA,N,1998
SOUTH AFRICA,N,1998
SOUTH AFRICA,N,1998
SOUTH AFRICA,N,1998
USA,N,1998
SOUTH AFRICA,N,1998
SOUTH AFRICA,N,1998
SOUTH AFRICA,N,1998
AUSTRALIA,Y,1998
SOUTH AFRICA,Y,1998
USA,N,1998
SOUTH AFRICA,N,1998
SOUTH AFRICA,N,1998
SOUTH AFRICA,N,1998
USA,N,1998
USA,N,1998
USA,N,1998
SOUTH AFRICA,N,1998
MOZAMBIQUE,Y,1998
USA,N,1998
USA,N,1998
USA,N,1998
SOUTH AFRICA,N,1998
USA,N,1998
USA,N,1998
AUSTRALIA,U,1998
NEW CALEDONIA,N,1998
SOUTH AFRICA,N,1998
MOZAMBIQUE,N,1998
SOUTH AFRICA,Y,1998
USA,N,1998
SOUTH AFRICA,Y,1997
USA,N,1997
AUSTRALIA,N,1997
AUSTRALIA,U,1997
AUSTRALIA,N,1997
USA,N,1997
USA,N,1997
USA,N,1997
SOUTH AFRICA,N,1997
USA,N,1997
BRAZIL,Y,1997
USA,N,1997
USA,N,1997
USA,N,1997
USA,N,1997
USA,N,1997
USA,N,1997
MEXICO,U,1997
MEXICO,Y,1997
USA,N,1997
EGYPT,N,1997
EGYPT,Y,1997
USA,N,1997
USA,N,1997
USA,N,1997
USA,N,1997
USA,N,1997
AUSTRALIA,N,1997
SOUTH AFRICA,Y,1997
USA,N,1997
USA,N,1997
FIJI,N,1997
USA,N,1997
USA,N,1997
USA,N,1997
USA,N,1997
USA,N,1997
BAHAMAS,N,1997
BRAZIL,N,1997
AUSTRALIA,N,1997
AUSTRALIA,N,1997
AUSTRALIA,N,1997
AUSTRALIA,N,1997
AUSTRALIA,Y,1997
AUSTRALIA,N,1997
AUSTRALIA,U,1996
SOUTH AFRICA,N,1996
USA,N,1996
USA,N,1996
USA,N,1996
USA,N,1996
USA,N,1996
USA,N,1996
NEW ZEALAND,N,1996
USA,N,1996
USA,N,1996
USA,N,1996
USA,U,1996
SOUTH AFRICA,N,1996
USA,N,1996
USA,N,1996
USA,N,1996
USA,N,1996
EGYPT,N,1996
USA,N,1996
USA,N,1996
USA,N,1996
USA,N,1996
AUSTRALIA,N,1996
SOUTH AFRICA,N,1996
AUSTRALIA,Y,1996
USA,N,1996
USA,N,1996
AUSTRALIA,N,1996
AUSTRALIA,N,1996
AUSTRALIA,N,1996
AUSTRALIA,N,1996
AUSTRALIA,N,1996
USA,N,1996
PAPUA NEW GUINEA,Y,1996
AUSTRALIA,N,1996
USA,N,1996
AUSTRALIA,N,1996
USA,N,1996
AUSTRALIA,N,1996
REUNION,Y,1996
NEW ZEALAND,N,1995
USA,N,1995
AUSTRALIA,N,1995
USA,N,1995
USA,N,1995
USA,N,1995
USA,N,1995
USA,N,1995
USA,N,1995
USA,Y,1995
AUSTRALIA,Y,1995
USA,N,1995
USA,U,1995
USA,N,1995
USA,N,1995
USA,N,1995
USA,N,1995
USA,N,1995
USA,N,1995
USA,N,1995
USA,N,1995
TONGA,N,1995
USA,N,1995
USA,U,1995
USA,N,1995
USA,N,1995
USA,N,1995
USA,N,1995
USA,N,1995
USA,N,1995
USA,N,1995
BRAZIL,Y,1995
SOUTH AFRICA,N,1984
USA,N,1995
USA,N,1995
USA,N,1995
USA,N,1995
USA,N,1995
USA,N,1995
USA,N,1995
USA,N,1995
HONG KONG,Y,1995
HONG KONG,Y,1995
HONG KONG,Y,1995
USA,N,1995
FIJI,Y,1995
AUSTRALIA,N,1995
JAPAN,Y,1995
AUSTRALIA,N,1995
SOUTH AFRICA,N,1995
SOUTH AFRICA,Y,1995
BRAZIL,N,1995
AUSTRALIA,N,1995
SOUTH AFRICA,N,1994
AUSTRALIA,U,1994
USA,Y,1994
SOUTH AFRICA,N,1994
USA,N,1994
USA,N,1994
USA,N,1994
USA,N,1994
USA,N,1994
USA,Y,1994
USA,N,1994
BRAZIL,N,1994
REUNION,Y,1994
SOUTH AFRICA,Y,1994
SOUTH AFRICA,N,1994
USA,N,1994
BAHAMAS,N,1994
USA,N,1994
USA,N,1994
USA,N,1994
USA,N,1994
USA,N,1994
USA,N,1994
BAHAMAS,N,1994
USA,N,1994
SOUTH AFRICA,Y,1994
USA,N,1994
BRAZIL,N,1994
SOUTH AFRICA,N,1994
USA,N,1994
SOUTH AFRICA,N,1994
USA,Y,1994
SOUTH AFRICA,N,1994
AUSTRALIA,N,1994
AUSTRALIA,N,1994
SOUTH AFRICA,N,1994
USA,Y,1993
USA,N,1993
AUSTRALIA,Y,1993
USA,N,1993
USA,N,1993
USA,N,1993
USA,N,1993
SOUTH AFRICA,N,1993
USA,N,1993
SPAIN,N,1993
BAHAMAS,N,1993
USA,N,1993
USA,N,1993
USA,N,1993
AUSTRALIA,N,1993
USA,N,1993
SOUTH AFRICA,N,1993
USA,N,1993
REUNION,N,1993
HONG KONG,Y,1993
MEXICO,Y,1993
USA,N,1993
AUSTRALIA,Y,1993
AUSTRALIA,Y,1993
HONG KONG,Y,1993
USA,N,1993
AUSTRALIA,U,1993
USA,N,1993
USA,N,1993
USA,N,1993
TONGA,N,1993
AUSTRALIA,N,1993
BRAZIL,N,1993
AUSTRALIA,N,1993
USA,N,1993
TONGA,N,1993
USA,N,1993
USA,N,1992
USA,N,1992
USA,N,1992
USA,N,1992
USA,N,1992
USA,N,1992
FIJI,N,1992
USA,N,1992
USA,N,1992
USA,Y,1992
USA,N,1992
USA,N,1992
AUSTRALIA,N,1992
AUSTRALIA,Y,1992
USA,N,1992
USA,N,1992
BAHAMAS,N,1992
AUSTRALIA,N,1992
USA,N,1992
USA,N,1992
USA,N,1992
REUNION,Y,1992
VANUATU,N,1992
JAPAN,N,1992
USA,U,1992
REUNION,Y,1992
NEW ZEALAND,N,1992
SOUTH AFRICA,N,1992
USA,N,1992
AUSTRALIA,N,1992
JAPAN,Y,1992
USA,N,1992
USA,Y,1992
JAPAN,N,1992
AUSTRALIA,U,1992
REUNION,N,1992
AUSTRALIA,N,1992
SOUTH AFRICA,N,1992
SOUTH AFRICA,N,1992
USA,N,1991
USA,Y,1991
USA,N,1991
USA,Y,1991
USA,N,1991
AUSTRALIA,N,1991
USA,N,1991
USA,N,1991
AUSTRALIA,Y,1991
AUSTRALIA,N,1991
USA,N,1991
USA,N,1991
USA,N,1991
ITALY,N,1991
USA,N,1991
USA,N,1991
USA,N,1991
REUNION,N,1991
USA,N,1991
USA,N,1991
USA,N,1991
USA,N,1991
HONG KONG,Y,1991
USA,N,1991
SOUTH AFRICA,N,1991
BRAZIL,N,1991
USA,N,1991
USA,N,1991
USA,N,1991
AUSTRALIA,N,1991
USA,N,1991
SOUTH AFRICA,N,1991
AUSTRALIA,N,1991
AUSTRALIA,N,1991
AUSTRALIA,N,1991
AUSTRALIA,N,1990
USA,N,1990
USA,N,1990
USA,N,1990
USA,N,1990
AUSTRALIA,N,1990
USA,N,1990
USA,N,1990
USA,N,1990
SOUTH AFRICA,N,1990
USA,N,1990
USA,N,1990
USA,U,1990
USA,N,1990
USA,N,1990
USA,N,1990
USA,N,1990
SOUTH AFRICA,Y,1990
BAHAMAS,N,1990
SOUTH AFRICA,N,1990
AUSTRALIA,N,1990
AUSTRALIA,N,1990
SOUTH AFRICA,N,1990
SOUTH AFRICA,N,1990
AUSTRALIA,N,1990
AUSTRALIA,Y,1990
AUSTRALIA,N,1990
AUSTRALIA,N,1990
REUNION,N,1990
USA,Y,1990
USA,N,1990
USA,N,1990
USA,U,1990
AUSTRALIA,U,1989
AUSTRALIA,U,1989
AUSTRALIA,N,1989
SOUTH AFRICA,Y,1989
AUSTRALIA,N,1989
AUSTRALIA,N,1989
AUSTRALIA,N,1989
USA,N,1989
USA,U,1989
AUSTRALIA,U,1989
SOUTH AFRICA,N,1989
USA,N,1989
USA,N,1989
USA,N,1989
USA,N,1989
USA,N,1989
AUSTRALIA,N,1989
USA,N,1989
SOUTH AFRICA,N,1989
AUSTRALIA,N,1989
BAHAMAS,N,1989
AUSTRALIA,N,1989
SOUTH AFRICA,N,1989
USA,N,1989
USA,N,1989
USA,N,1989
ITALY,N,1989
SOUTH AFRICA,N,1989
SOUTH AFRICA,N,1989
USA,N,1989
USA,N,1989
AUSTRALIA,Y,1989
AUSTRALIA,N,1989
SOUTH AFRICA,N,1989
ITALY,Y,1989
USA,U,1989
USA,Y,1989
USA,N,1989
SOUTH AFRICA,N,1989
AUSTRALIA,N,1989
PAPUA NEW GUINEA,N,1989
AUSTRALIA,Y,1988
AUSTRALIA,Y,1988
USA,N,1988
AUSTRALIA,N,1988
USA,N,1988
USA,N,1988
USA,N,1988
AUSTRALIA,N,1988
USA,N,1988
USA,N,1988
USA,N,1988
USA,Y,1988
USA,N,1988
USA,N,1988
USA,N,1988
USA,N,1988
SOUTH AFRICA,N,1988
USA,N,1988
USA,N,1988
USA,N,1988
USA,N,1988
USA,N,1988
USA,N,1988
USA,N,1988
USA,N,1988
USA,N,1988
USA,N,1988
SOUTH AFRICA,N,1988
SOUTH AFRICA,N,1988
SOUTH AFRICA,N,1988
AUSTRALIA,N,1988
FIJI,N,1988
SOUTH AFRICA,U,1988
SOUTH AFRICA,N,1988
SOUTH AFRICA,N,1988
AUSTRALIA,N,1988
USA,N,1987
USA,N,1987
USA,N,1987
SOUTH AFRICA,U,1987
SOUTH AFRICA,N,1987
AUSTRALIA,Y,1987
SOUTH AFRICA,N,1987
USA,N,1987
USA,N,1987
USA,N,1987
USA,N,1987
USA,N,1987
USA,N,1987
BAHAMAS,N,1987
USA,N,1987
USA,N,1987
USA,N,1987
VANUATU,Y,1987
AUSTRALIA,N,1987
USA,N,1987
SOUTH AFRICA,N,1987
AUSTRALIA,N,1987
ITALY,N,1987
SOUTH AFRICA,N,1986
SOUTH AFRICA,Y,1986
USA,N,1986
BAHAMAS,N,1986
USA,N,1986
SOUTH AFRICA,U,1986
USA,N,1986
USA,N,1986
USA,N,1986
SOUTH AFRICA,N,1986
USA,N,1986
SOUTH AFRICA,N,1986
USA,N,1986
USA,N,1986
USA,N,1986
SOUTH AFRICA,U,1986
AUSTRALIA,N,1986
AUSTRALIA,N,1986
USA,N,1986
SOUTH AFRICA,N,1986
AUSTRALIA,N,1986
SPAIN,N,1986
SPAIN,N,1986
SOUTH AFRICA,N,1986
SOUTH AFRICA,N,1986
SOUTH AFRICA,N,1986
SOUTH AFRICA,N,1986
SOUTH AFRICA,N,1986
AUSTRALIA,N,1986
USA,N,1986
USA,N,1986
AUSTRALIA,N,1985
USA,N,1985
USA,N,1985
SOUTH AFRICA,N,1985
USA,N,1985
USA,N,1985
USA,N,1985
USA,N,1985
USA,N,1985
SOUTH AFRICA,U,1985
USA,N,1985
USA,U,1985
USA,N,1985
USA,U,1985
USA,U,1985
USA,N,1985
USA,N,1985
USA,N,1985
USA,N,1985
ITALY,N,1985
USA,N,1985
SOUTH AFRICA,N,1985
USA,N,1985
AUSTRALIA,Y,1985
USA,N,1985
USA,N,1985
SOUTH AFRICA,N,1985
SOUTH AFRICA,N,1985
NEW ZEALAND,N,1985
SOUTH AFRICA,N,1985
NEW CALEDONIA,N,1985
SOUTH AFRICA,N,1985
ITALY,N,1984
AUSTRALIA,Y,1984
USA,N,1984
USA,N,1984
USA,U,1984
USA,N,1984
USA,U,1984
USA,N,1984
USA,N,1984
USA,N,1984
USA,N,1984
USA,N,1984
USA,N,1984
USA,Y,1984
MEXICO,N,1984
USA,U,1984
USA,N,1984
USA,N,1984
SOUTH AFRICA,U,1984
SOUTH AFRICA,N,1984
SOUTH AFRICA,N,1984
USA,N,1984
VANUATU,Y,1984
SOUTH AFRICA,N,1984
SOUTH AFRICA,N,1984
SOUTH AFRICA,N,1984
SOUTH AFRICA,N,1984
AUSTRALIA,N,1984
SOUTH AFRICA,N,1984
USA,N,1984
USA,N,1983
AUSTRALIA,N,1983
SOUTH AFRICA,N,1983
SOUTH AFRICA,N,1983
USA,N,1983
USA,N,1983
USA,N,1983
USA,N,1983
USA,N,1983
SOUTH AFRICA,N,1983
USA,N,1983
USA,N,1983
USA,N,1983
AUSTRALIA,Y,1983
AUSTRALIA,Y,1983
AUSTRALIA,N,1983
SOUTH AFRICA,N,1983
USA,N,1983
BAHAMAS,N,1983
USA,N,1983
USA,N,1983
BAHAMAS,Y,1983
USA,N,1983
BAHAMAS,N,1983
USA,N,1983
USA,N,1983
USA,N,1983
SOUTH AFRICA,N,1983
USA,N,1983
SOUTH AFRICA,N,1983
SOUTH AFRICA,N,1983
SOUTH AFRICA,N,1983
USA,N,1983
SOUTH AFRICA,N,1983
SOUTH AFRICA,N,1983
USA,N,1982
SOUTH AFRICA,N,1982
SOUTH AFRICA,N,1982
USA,N,1982
USA,N,1982
USA,N,1982
USA,U,1982
SOUTH AFRICA,N,1982
SOUTH AFRICA,U,1982
SOUTH AFRICA,N,1982
USA,N,1982
USA,N,1982
USA,U,1982
USA,N,1982
SOUTH AFRICA,Y,1982
USA,N,1982
BAHAMAS,N,1982
USA,N,1982
USA,N,1982
AUSTRALIA,Y,1982
AUSTRALIA,Y,1982
USA,N,1982
USA,Y,1982
USA,N,1982
USA,Y,1982
SOUTH AFRICA,N,1982
ITALY,U,1982
ITALY,N,1982
USA,Y,1981
USA,N,1981
SOUTH AFRICA,N,1981
USA,N,1981
USA,N,1981
USA,N,1981
USA,N,1981
USA,N,1981
USA,Y,1981
USA,N,1981
USA,N,1981
USA,N,1981
USA,N,1981
USA,N,1981
USA,Y,1981
BAHAMAS,N,1981
USA,N,1981
SOUTH AFRICA,N,1981
USA,N,1981
SOUTH AFRICA,N,1981
SOUTH AFRICA,N,1981
USA,N,1981
USA,N,1981
SOUTH AFRICA,N,1981
SOUTH AFRICA,N,1981
USA,N,1981
USA,N,1981
BRAZIL,U,1981
SOUTH AFRICA,N,1981
AUSTRALIA,N,1981
USA,N,1981
USA,N,1981
SOUTH AFRICA,U,1981
AUSTRALIA,N,1981
SOUTH AFRICA,N,1980
REUNION,N,1980
BRAZIL,Y,1980
USA,N,1980
USA,N,1980
USA,N,1980
USA,N,1980
SPAIN,N,1980
USA,N,1980
USA,N,1980
USA,N,1980
SOUTH AFRICA,N,1980
MEXICO,N,1980
SOUTH AFRICA,Y,1980
BRAZIL,N,1980
SOUTH AFRICA,N,1980
SOUTH AFRICA,N,1980
SOUTH AFRICA,N,1980
SOUTH AFRICA,N,1980
SOUTH AFRICA,N,1980
SOUTH AFRICA,U,1980
TONGA,N,1980
SOUTH AFRICA,N,1979
USA,N,1979
SOUTH AFRICA,N,1979
SOUTH AFRICA,N,1979
AUSTRALIA,N,1979
USA,N,1979
USA,N,1979
USA,U,1979
SOUTH AFRICA,N,1979
USA,N,1979
USA,N,1979
USA,N,1979
USA,N,1979
SOUTH AFRICA,N,1979
SOUTH AFRICA,Y,1978
USA,N,1978
USA,N,1978
SOUTH AFRICA,N,1978
ITALY,N,1978
AUSTRALIA,N,1978
USA,N,1978
USA,N,1978
USA,N,1978
USA,N,1978
USA,N,1978
MARSHALL ISLANDS,N,1978
MARSHALL ISLANDS,N,1978
AUSTRALIA,N,1978
SOUTH AFRICA,N,1978
SOUTH AFRICA,N,1978
SOUTH AFRICA,N,1978
USA,N,1977
USA,N,1977
SOUTH AFRICA,N,1977
SOUTH AFRICA,N,1977
SOUTH AFRICA,N,1977
SOUTH AFRICA,N,1977
AUSTRALIA,N,1977
AUSTRALIA,Y,1977
SOUTH AFRICA,N,1977
USA,N,1977
USA,U,1977
USA,N,1977
USA,N,1977
USA,N,1977
SOUTH AFRICA,N,1977
USA,N,1977
SOUTH AFRICA,N,1977
AUSTRALIA,N,1977
AUSTRALIA,Y,1977
AUSTRALIA,Y,1977
AUSTRALIA,N,1977
USA,N,1976
SOUTH AFRICA,N,1976
USA,N,1976
SOUTH AFRICA,U,1976
SOUTH AFRICA,N,1976
SOUTH AFRICA,N,1976
USA,N,1976
SOUTH AFRICA,N,1976
AUSTRALIA,N,1976
USA,Y,1976
USA,N,1976
USA,N,1976
USA,N,1976
USA,N,1976
USA,N,1976
USA,Y,1976
USA,N,1976
USA,N,1976
USA,N,1976
ITALY,N,1976
AUSTRALIA,N,1976
SOUTH AFRICA,N,1976
USA,N,1976
SOUTH AFRICA,N,1976
SOUTH AFRICA,N,1976
SOUTH AFRICA,N,1976
SOUTH AFRICA,N,1976
USA,N,1976
NEW ZEALAND,Y,1976
AUSTRALIA,N,1975
USA,N,1975
AUSTRALIA,N,1975
AUSTRALIA,N,1975
SOUTH AFRICA,N,1975
USA,N,1975
AUSTRALIA,N,1975
SOUTH AFRICA,N,1975
SOUTH AFRICA,N,1975
USA,N,1975
USA,N,1975
AUSTRALIA,Y,1975
USA,N,1975
AUSTRALIA,N,1975
USA,N,1975
USA,N,1975
USA,N,1975
AUSTRALIA,N,1975
USA,N,1975
USA,N,1975
USA,N,1975
USA,N,1975
USA,N,1975
USA,N,1975
USA,N,1975
ITALY,U,1975
SOUTH AFRICA,N,1975
USA,N,1975
AUSTRALIA,N,1975
SOUTH AFRICA,N,1975
SOUTH AFRICA,N,1975
AUSTRALIA,Y,1975
AUSTRALIA,N,1975
SOUTH AFRICA,N,1975
AUSTRALIA,Y,1975
USA,N,1974
USA,N,1974
USA,N,1974
USA,N,1974
USA,N,1974
AUSTRALIA,N,1974
USA,N,1974
CROATIA,Y,1974
USA,N,1974
USA,N,1974
USA,Y,1974
USA,Y,1974
USA,N,1974
USA,N,1974
SOUTH AFRICA,N,1974
SOUTH AFRICA,N,1974
USA,N,1974
SOUTH AFRICA,N,1974
SOUTH AFRICA,N,1974
SOUTH AFRICA,N,1974
SOUTH AFRICA,N,1974
SOUTH AFRICA,N,1974
SOUTH AFRICA,N,1974
SOUTH AFRICA,N,1974
SOUTH AFRICA,N,1974
AUSTRALIA,Y,1974
SOUTH AFRICA,N,1974
MOZAMBIQUE,Y,1974
AUSTRALIA,N,1974
MOZAMBIQUE,N,1973
MOZAMBIQUE,Y,1973
MEXICO,Y,1973
USA,N,1973
BAHAMAS,N,1973
MEXICO,Y,1973
AUSTRALIA,N,1973
USA,N,1973
MEXICO,Y,1973
MOZAMBIQUE,Y,1973
SOUTH AFRICA,N,1973
MEXICO,Y,1973
SOUTH AFRICA,N,1973
USA,N,1973
SOUTH AFRICA,N,1973
