Country,Fatal,Year
AUSTRALIA,N,2015
USA,N,2015
USA,N,2015
AUSTRALIA,N,2015
USA,N,2015
USA,N,2015
USA,N,2015
SPAIN,U,2015
USA,N,2015
AUSTRALIA,N,2015
COSTA RICA,N,2015
USA,N,2015
USA,U,2015
AUSTRALIA,Y,2015
USA,N,2015
AUSTRALIA,N,2015
REUNION,N,2015
SOUTH AFRICA,N,2015
USA,N,2015
USA,U,2015
BAHAMAS,N,2015
AUSTRALIA,N,2015
AUSTRALIA,N,2015
USA,N,2015
USA,N,2015
USA,N,2015
SOUTH AFRICA,N,2015
SOUTH AFRICA,N,2015
USA,N,2015
AUSTRALIA,N,2015
USA,N,2015
USA,N,2015
AUSTRALIA,N,2015
USA,N,2015
USA,N,2015
USA,N,2015
USA,N,2015
USA,N,2015
USA,N,2015
USA,N,2015
REUNION,N,2015
USA,N,2015
USA,N,2015
FRENCH POLYNESIA,N,2015
USA,N,2015
USA,N,2015
USA,N,2015
NEW CALEDONIA,Y,2015
AUSTRALIA,N,2015
SOUTH AFRICA,N,2015
USA,Y,2015
USA,N,2015
AUSTRALIA,N,2015
AUSTRALIA,N,2015
USA,N,2015
REUNION,Y,2015
USA,N,2015
BRAZIL,U,2015
SOUTH AFRICA,N,2015
EGYPT,Y,2015
USA,N,2015
FRENCH POLYNESIA,N,2015
MEXICO,N,2015
FRENCH POLYNESIA,N,2015
REUNION,Y,2015
AUSTRALIA,Y,2015
AUSTRALIA,N,2015
AUSTRALIA,N,2015
AUSTRALIA,N,2015
USA,N,2015
SOUTH AFRICA,N,2015
USA,N,2015
AUSTRALIA,N,2015
AUSTRALIA,N,2015
BAHAMAS,N,2015
SOUTH AFRICA,N,2015
USA,N,2015
AUSTRALIA,N,2014
AUSTRALIA,Y,2014
USA,N,2014
AUSTRALIA,N,2014
AUSTRALIA,Y,2014
AUSTRALIA,N,2014
AUSTRALIA,N,2014
USA,N,2014
USA,N,2014
USA,N,2014
USA,N,2014
AUSTRALIA,N,2014
USA,N,2014
USA,N,2014
AUSTRALIA,N,2014
USA,N,2014
USA,N,2014
USA,N,2014
USA,N,2014
USA,N,2014
USA,N,2014
USA,N,2014
AUSTRALIA,N,2014
FRENCH POLYNESIA,N,2014
AUSTRALIA,Y,2014
USA,N,2014
USA,N,2014
USA,N,2014
SPAIN,N,2014
USA,N,2014
USA,N,2014
USA,N,2014
SPAIN,N,2014
USA,N,2014
USA,N,2014
USA,N,2014
AUSTRALIA,N,2014
USA,N,2014
USA,N,2014
USA,N,2014
USA,N,2014
USA,N,2014
USA,N,2014
USA,N,2014
SOUTH AFRICA,N,2014
USA,N,2014
REUNION,N,2014
USA,N,2014
SPAIN,N,2014
USA,N,2014
USA,N,2014
BAHAMAS,U,2014
USA,N,2014
USA,N,2014
USA,N,2014
BAHAMAS,N,2014
AUSTRALIA,N,2014
AUSTRALIA,N,2014
USA,N,2014
AUSTRALIA,N,2014
JAPAN,N,2014
USA,N,2014
USA,N,2014
USA,N,2014
AUSTRALIA,N,2014
AUSTRALIA,N,2014
USA,N,2014
AUSTRALIA,N,2014
USA,N,2014
USA,N,2014
USA,N,2014
SOUTH AFRICA,N,2014
USA,N,2014
AUSTRALIA,N,2014
USA,N,2014
USA,N,2014
SOUTH AFRICA,N,2014
USA,N,2014
USA,N,2014
AUSTRALIA,Y,2014
AUSTRALIA,U,2014
SOUTH AFRICA,Y,2014
USA,N,2014
USA,N,2014
AUSTRALIA,N,2014
AUSTRALIA,N,2014
USA,N,2014
FRENCH POLYNESIA,N,2014
AUSTRALIA,Y,2014
NEW ZEALAND,N,2014
AUSTRALIA,N,2014
NEW ZEALAND,N,2014
JAPAN,N,2014
NEW CALEDONIA,N,2013
SOUTH AFRICA,N,2013
USA,N,2013
USA,N,2013
AUSTRALIA,N,2013
USA,Y,2013
AUSTRALIA,Y,2013
USA,N,2013
AUSTRALIA,Y,2013
USA,N,2013
AUSTRALIA,N,2013
USA,N,2013
USA,N,2013
AUSTRALIA,N,2013
REUNION,N,2013
AUSTRALIA,N,2013
AUSTRALIA,N,2013
USA,N,2013
USA,N,2013
USA,N,2013
SOUTH AFRICA,Y,2013
AUSTRALIA,N,2013
USA,N,2013
USA,N,2013
USA,N,2013
USA,N,2013
USA,N,2013
USA,N,2013
USA,N,2013
USA,N,2013
USA,N,2013
USA,N,2013
USA,N,2013
USA,N,2013
USA,N,2013
USA,U,2013
USA,N,2013
USA,N,2013
USA,N,2013
USA,Y,2013
USA,N,2013
USA,N,2013
USA,N,2013
USA,N,2013
USA,N,2013
BAHAMAS,N,2013
USA,N,2013
BAHAMAS,N,2013
BAHAMAS,N,2013
BRAZIL,Y,2013
USA,N,2013
USA,N,2013
REUNION,Y,2013
USA,N,2013
SPAIN,U,2013
AUSTRALIA,N,2013
USA,N,2013
USA,N,2013
USA,N,2013
USA,N,2013
USA,N,2013
USA,N,2013
USA,N,2013
